,Unnamed: 0,Query,Action
0,0,What is the price for the event?,get_event_fees
1,1,"Due to unavoidable reasons I'm unable to attend the event, will I get a refund?",is_refundable
2,2,When is the deadline to make the payment?,get_registration_date
3,3,How much does it cost to register for the event?,get_event_fees
4,4,Do you have any online payment options for the event? ,get_payment_method
5,5,When is the last day for payments?,get_registration_date
6,6,When is the last day to pay?,get_event_fees
7,7,Can I pay through paytm or UPI?,get_payment_method
8,8,Can I pay for a ticket at the venue?,get_payment_method
9,9,What are the prizes up for grabs?,get_prizes
10,10,Can I cancel my registration after paying the fees?,is_refundable
11,11,Are there any benefits or discounts?,get_discounts
12,12,Can I get a refund if I can't make it? ,is_refundable
13,13,Do you refund the payment? ,get_payment_method
14,14,"can I pay using Debit cards?, what if my Credit card is not international?",get_payment_method
15,15,Which debit cards can be used?,get_payment_method
16,16,hey,greet
17,17,What is the refund policy? ,is_refundable
18,18,What are the various payment methods?,get_payment_method
19,19,Can I have a refund of my money?,is_refundable
20,20,Can I get the money back?,is_refundable
21,21,Can I pay later for the event?,get_payment_method
22,22,Is on spot registration available?,get_payment_method
23,23,What all Modes of payment are available?,get_payment_method
24,24,What is the schedule for <date>?,show_schedule
25,25,How long is the lunch break?,show_schedule
26,26,When is the event happening?,get_event_date
27,27,What are the timings for <event_name>? ,get_event_time
28,28,What is happening at 4 on August 5?,show_schedule
29,29,Will there be breaks in between technical session on <day>?,show_schedule
30,30,What is happening on the second day?,show_schedule
31,31,At what time does the event end?,get_event_time
32,32,What events are scheduled on august 3rd between 2 to 5?,show_schedule
34,34,Major events on the first day,show_schedule
35,35,When does the event end?,get_event_date
36,36,What is going to happen at 9am on August 4th?,show_schedule
37,37,When does the event start?,get_event_date
38,38,Will be get accomodation,show_accomodation
39,39,Whats happening on 9th July around 9pm?,show_schedule
40,40,I'd like to get the iteanery.,show_schedule
41,41,What is the schedule of the event?,show_schedule
42,42,"What are the events on <date or 1st, 2nd , 3rd day>?",show_schedule
44,44,What events are going to happen?,get_event_date
45,45,Can we come a bit late?,get_event_time
46,46,Where can I find the itinerary?,show_schedule
47,47, Is there any break?,show_schedule
48,48,Who are the speakers for <date>?,show_speakers
49,49,Is there a provision available to meet the speakers after the event?,speaker_details_extra
50,50,Who is the speaker?,show_speakers
51,51,Where are the speakers from? ,show_speakers
52,52,Can I get the email of all the speakers?,show_speakers
53,53,How many speakers are coming and will there be a Q and A?,show_speakers
54,54,How many speakers are going to speak in the event?,speaker_details_extra
55,55,How many speakers are there?,speaker_details_extra
56,56,Could I know more about the AI Speakers?,speaker_details_extra
