,Query,Action
0,What is the price for the event?,get_event_fees
1,"Due to unavoidable reasons I'm unable to attend the event, will I get a refund?",is_refundable
2,When is the deadline to make the payment?,get_registration_date
3,How much does it cost to register for the event?,get_event_fees
4,Do you have any online payment options for the event? ,get_payment_method
5,When is the last day for payments?,get_registration_date
6,When is the last day to pay?,get_event_fees
7,Can I pay through paytm or UPI?,get_payment_method
8,Can I pay for a ticket at the venue?,get_payment_method
9,What are the prizes up for grabs?,get_prizes
10,Can I cancel my registration after paying the fees?,is_refundable
11,Are there any benefits or discounts?,get_discounts
12,Can I get a refund if I can't make it? ,is_refundable
13,Do you refund the payment? ,get_payment_method
14,"can I pay using Debit cards?, what if my Credit card is not international?",get_payment_method
15,Which debit cards can be used?,get_payment_method
16,Are there any concessions? What do payenents include? ,
17,What is the refund policy? ,is_refundable
18,What are the various payment methods?,get_payment_method
19,Can I have a refund of my money?,is_refundable
20,Can I get the money back?,is_refundable
21,Can I pay later for the event?,get_payment_method
22,Is on spot registration available?,get_payment_method
23,What all Modes of payment are available?,get_payment_method
24,What is the schedule for <date>?,show_schedule
25,How long is the lunch break?,show_schedule
26,When is the event happening?,get_event_date
27,What are the timings for <event_name>? ,get_event_time
28,What is happening at 4 on August 5?,show_schedule
29,Will there be breaks in between technical session on <day>?,show_schedule
30,What is happening on the second day?,show_schedule
31,At what time does the event end?,get_event_time
32,What events are scheduled on august 3rd between 2 to 5?,show_schedule
33,The event is related to which domain?,get_event_domain
34,Major events on the first day,show_schedule
35,When does the event end?,get_event_date
36,What is going to happen at 9am on August 4th?,show_schedule
37,When does the event start?,get_event_date
38,Will be get accomodation,show_accomodation
39,Whats happening on 9th July around 9pm?,show_schedule
40,I'd like to get the iteanery.,show_schedule
41,What is the schedule of the event?,show_schedule
42,"What are the events on <date or 1st, 2nd , 3rd day>?",show_schedule
43,The sessions are related to which domain?,get_event_domain
44,What events are going to happen?,get_event_date
45,Can we come a bit late?,get_event_time
46,Where can I find the itinerary?,show_schedule
47, Is there any break?,show_schedule
48,Who are the speakers for <date>?,show_speakers
49,Is there a provision available to meet the speakers after the event?,speaker_details_extra
50,Who is the speaker?,show_speakers
51,Where are the speakers from? ,show_speakers
52,Can I get the email of all the speakers?,show_speakers
53,How many speakers are coming and will there be a Q and A?,show_speakers
54,How many speakers are going to speak in the event?,show_speakers_count
55,How many speakers are there?,show_speakers_count
56,Could I know more about the AI Speakers?,show_speakers_details
57,I'd like to know about the speakers.,show_speakers_details
58,More about the speakers?,show_speakers_details
59,Is there a question and answer session with the speakers?,speaker_details_extra
60,Who are the speakers at the event? ,show_speakers
61,Who all are coming for panel discussions? on what days are the best speakers coming?,show_speakers
62,Could I get in touch with a speaker?,speaker_details_extra
63,Where are the speakers from? ,show_speaker_details
64,Can I have a list of the speakers?,show_speakers
65,Who are speaking in this event?,show_speakers
66,Who all are going to speak in the events?,show_speakers
67,What speakers are coming in the event?,show_speakers
68,Can I have a personal chat with them?,speaker_details_extra
69,Where are they going to stay?,show_accomodation
70,What are the arrangements for food?,show_food_arrangements
71,Do you provide unsweetened drinks for diabetics?,show_food_arrangements
72,Is food provided for all the days till the event ends? ,show_food_arrangements
73,Is food complimentary?,show_food_arrangements
74,Does the registration cost involve food? ,show_food_cost
75,Whats the scene with meals?,show_food_arrangements
76,Is the food unlimited?,show_food_arrangements
77,When is lunch going to be served today?,show_schedule
78,Is food provided?,show_food_arrangements
79,Any payments related to food?,show_food_cost
80,Is food provided three times a day?,show_schedule
81,Will food and snacks be provided? ,show_food_arrangements
82,Do we pay for our own food? How many meals are you providing?,show_food_arrangements
83,Is the food complimentary?,show_food_arrangements
84,Will food be provided? ,show_food_arrangements
85,Are we going to have lunch breaks during the event?,show_schedule
86,Can we bring in food from outside?,show_food_arrangements
87,What kind of food will be provided?,show_food_arrangements
88,Will stay be arranged?,show_accomodation
89,How far is the college from the hotel I will be staying at?,show_accomodation_address
90,How far away from the event is the accomodation arranged?,show_accomodation_address
91,Is accommodation only for participants or for their family too? ,show_accomodation
92,Will you be arranging accommodation?,show_accomodation
93,Does the accommodation have AC?,show_accomodation
94,How far is the accommodation location from the event location?,get_distance
95,Do I have to pay separately for accommodation?,show_accomodation_price
96,How do I commute to the venue from my accommodation?,show_accomodation
97,I'd like to know the details for accommodation.,show_accomodation
98,Detailed information regarding accommodation?,show_accomodation
99,Will you be booking tickets for us if we pay that money?,show_accomodation_price
100,Will accommodation be arranged for participants,show_accomodation
101,Do we pay for our own accommodation? How much would it cost?,show_accomodation_price
102,Is the accommodation provided?,show_accomodation
103,What's the cost of accomodation?,show_accomodation_price
104,Whats the scene with accommodation?,show_accomodation
105,Are the meals going to be provided along with accommodation?,show_accomodation
106,Is the accommodation provided by you?,show_accomodation
107,Can I have the details of the stay?,show_accomodation_address
108,Is the complimentary food given?,show_food_arrangements
109,Is warm water available?,show_accomodation
110,Is AC available?,show_accomodation
111,Any pictures of the rooms?,show_accomodation
112,Any cheaper acco available?,show_accomodation
0,"Due to certain reasons I 'm unable to attend the event , will I get a refund ?",is_refundable
0,"Due to inescapable reasons I 'm unable to attend the event , will I get a refund ?",is_refundable
0,"Due to inevitable reasons I 'm unable to attend the event , will I get a refund ?",is_refundable
0,"Due to necessary reasons I 'm unable to attend the event , will I get a refund ?",is_refundable
0,"Due to unavoidable logic I 'm unable to attend the event , will I get a refund ?",is_refundable
0,"Due to unavoidable reasoning I 'm unable to attend the event , will I get a refund ?",is_refundable
0,"Due to unavoidable sense I 'm unable to attend the event , will I get a refund ?",is_refundable
0,"Due to unavoidable reasons I 'm helpless to attend the event , will I get a refund ?",is_refundable
0,"Due to unavoidable reasons I 'm impotent to attend the event , will I get a refund ?",is_refundable
0,"Due to unavoidable reasons I 'm inadequate to attend the event , will I get a refund ?",is_refundable
0,"Due to unavoidable reasons I 'm incapable to attend the event , will I get a refund ?",is_refundable
0,"Due to unavoidable reasons I 'm unable to show up the event , will I get a refund ?",is_refundable
0,"Due to unavoidable reasons I 'm unable to visit the event , will I get a refund ?",is_refundable
0,"Due to unavoidable reasons I 'm unable to attend the event , will I get an allowance ?",is_refundable
0,"Due to unavoidable reasons I 'm unable to attend the event , will I get an compensation ?",is_refundable
0,"Due to unavoidable reasons I 'm unable to attend the event , will I get an discount ?",is_refundable
0,"Due to unavoidable reasons I 'm unable to attend the event , will I get an kickback ?",is_refundable
0,When is the limit to make the payment ?,get_registration_date
0,When is the period to make the payment ?,get_registration_date
0,When is the time limit to make the payment ?,get_registration_date
0,When is the deadline to make the amount ?,get_registration_date
